Stage2 Cold 1/80:   1%|          | 73/7829 [00:03<05:59, 21.59it/s, loss=0.8275, hdr=0.4751, cold=0.0402]
Stage2 Cold 1/80:   1%|          | 73/7829 [00:04<05:59, 21.59it/s, loss=0.8269, hdr=0.0101, cold=0.0080]
Stage2 Cold 1/80:   1%|          | 76/7829 [00:04<05:58, 21.65it/s, loss=0.8269, hdr=0.0101, cold=0.0080]
Stage2 Cold 1/80:   1%|          | 76/7829 [00:04<05:58, 21.65it/s, loss=0.8270, hdr=0.0067, cold=0.0103]
Stage2 Cold 1/80:   1%|          | 76/7829 [00:04<05:58, 21.65it/s, loss=0.8256, hdr=0.0174, cold=0.0101]
Stage2 Cold 1/80:   1%|          | 76/7829 [00:04<05:58, 21.65it/s, loss=0.8235, hdr=0.0085, cold=0.0575]
Stage2 Cold 1/80:   1%|          | 79/7829 [00:04<05:56, 21.72it/s, loss=0.8235, hdr=0.0085, cold=0.0575]
Stage2 Cold 1/80:   1%|          | 79/7829 [00:04<05:56, 21.72it/s, loss=0.8227, hdr=0.0129, cold=0.0237]
Stage2 Cold 1/80:   1%|          | 79/7829 [00:04<05:56, 21.72it/s, loss=0.8233, hdr=0.0913, cold=0.0335]
Stage2 Cold 1/80:   1%|          | 79/7829 [00:04<05:56, 21.72it/s, loss=0.8241, hdr=0.0241, cold=0.1129]
Stage2 Cold 1/80:   1%|          | 82/7829 [00:04<05:56, 21.73it/s, loss=0.8241, hdr=0.0241, cold=0.1129]
Stage2 Cold 1/80:   1%|          | 82/7829 [00:04<05:56, 21.73it/s, loss=0.8205, hdr=0.0093, cold=0.0481]
Stage2 Cold 1/80:   1%|          | 82/7829 [00:04<05:56, 21.73it/s, loss=0.8209, hdr=0.0365, cold=0.1025]
Stage2 Cold 1/80:   1%|          | 82/7829 [00:04<05:56, 21.73it/s, loss=0.8209, hdr=0.0263, cold=0.0262]
Stage2 Cold 1/80:   1%|          | 85/7829 [00:04<05:55, 21.77it/s, loss=0.8209, hdr=0.0263, cold=0.0262]
Stage2 Cold 1/80:   1%|          | 85/7829 [00:04<05:55, 21.77it/s, loss=0.8193, hdr=0.0102, cold=0.0478]
Stage2 Cold 1/80:   1%|          | 85/7829 [00:04<05:55, 21.77it/s, loss=0.8206, hdr=0.0220, cold=0.0426]
Stage2 Cold 1/80:   1%|          | 85/7829 [00:04<05:55, 21.77it/s, loss=0.8185, hdr=0.0182, cold=0.0289]
Stage2 Cold 1/80:   1%|          | 88/7829 [00:04<05:55, 21.80it/s, loss=0.8185, hdr=0.0182, cold=0.0289]
Stage2 Cold 1/80:   1%|          | 88/7829 [00:04<05:55, 21.80it/s, loss=0.8164, hdr=0.0165, cold=0.0443]
Stage2 Cold 1/80:   1%|          | 88/7829 [00:04<05:55, 21.80it/s, loss=0.8194, hdr=0.0262, cold=0.0018]
Stage2 Cold 1/80:   1%|          | 88/7829 [00:04<05:55, 21.80it/s, loss=0.8156, hdr=0.0054, cold=0.0592]
Stage2 Cold 1/80:   1%|          | 91/7829 [00:04<05:55, 21.79it/s, loss=0.8156, hdr=0.0054, cold=0.0592]
Stage2 Cold 1/80:   1%|          | 91/7829 [00:04<05:55, 21.79it/s, loss=0.8161, hdr=0.0361, cold=0.0475]
Stage2 Cold 1/80:   1%|          | 91/7829 [00:04<05:55, 21.79it/s, loss=0.8328, hdr=0.9056, cold=0.0021]
Stage2 Cold 1/80:   1%|          | 91/7829 [00:04<05:55, 21.79it/s, loss=0.8292, hdr=0.0057, cold=0.0392]
Stage2 Cold 1/80:   1%|          | 94/7829 [00:04<05:54, 21.79it/s, loss=0.8292, hdr=0.0057, cold=0.0392]
Stage2 Cold 1/80:   1%|          | 94/7829 [00:04<05:54, 21.79it/s, loss=0.8283, hdr=0.0064, cold=0.0438]
Stage2 Cold 1/80:   1%|          | 94/7829 [00:04<05:54, 21.79it/s, loss=0.8325, hdr=0.4326, cold=0.0492]
Stage2 Cold 1/80:   1%|          | 94/7829 [00:04<05:54, 21.79it/s, loss=0.8322, hdr=0.0224, cold=0.0023]
Stage2 Cold 1/80:   1%|          | 97/7829 [00:04<05:55, 21.75it/s, loss=0.8322, hdr=0.0224, cold=0.0023]
Stage2 Cold 1/80:   1%|          | 97/7829 [00:05<05:55, 21.75it/s, loss=0.8314, hdr=0.0082, cold=0.0363]
Stage2 Cold 1/80:   1%|          | 97/7829 [00:05<05:55, 21.75it/s, loss=0.8345, hdr=0.0288, cold=0.0018]
Stage2 Cold 1/80:   1%|          | 97/7829 [00:05<05:55, 21.75it/s, loss=0.8312, hdr=0.0074, cold=0.0580]
Stage2 Cold 1/80:   1%|▏         | 100/7829 [00:05<06:27, 19.95it/s, loss=0.8312, hdr=0.0074, cold=0.0580]
Stage2 Cold 1/80:   1%|▏         | 100/7829 [00:05<06:27, 19.95it/s, loss=0.8310, hdr=0.0111, cold=0.0043]
Stage2 Cold 1/80:   1%|▏         | 100/7829 [00:05<06:27, 19.95it/s, loss=0.8285, hdr=0.0065, cold=0.0348]
Stage2 Cold 1/80:   1%|▏         | 100/7829 [00:05<06:27, 19.95it/s, loss=0.8274, hdr=0.0042, cold=0.0214]
Stage2 Cold 1/80:   1%|▏         | 103/7829 [00:05<06:17, 20.45it/s, loss=0.8274, hdr=0.0042, cold=0.0214]
Stage2 Cold 1/80:   1%|▏         | 103/7829 [00:05<06:17, 20.45it/s, loss=0.8303, hdr=0.0481, cold=0.1233]
Stage2 Cold 1/80:   1%|▏         | 103/7829 [00:05<06:17, 20.45it/s, loss=0.8285, hdr=0.0099, cold=0.0423]
Stage2 Cold 1/80:   1%|▏         | 103/7829 [00:05<06:17, 20.45it/s, loss=0.8293, hdr=0.0191, cold=0.0148]
Stage2 Cold 1/80:   1%|▏         | 106/7829 [00:05<06:10, 20.86it/s, loss=0.8293, hdr=0.0191, cold=0.0148]
Stage2 Cold 1/80:   1%|▏         | 106/7829 [00:05<06:10, 20.86it/s, loss=0.8287, hdr=0.0056, cold=0.0169]
Stage2 Cold 1/80:   1%|▏         | 106/7829 [00:05<06:10, 20.86it/s, loss=0.8276, hdr=0.0184, cold=0.0408]
Stage2 Cold 1/80:   1%|▏         | 106/7829 [00:05<06:10, 20.86it/s, loss=0.8246, hdr=0.0060, cold=0.0325]
Stage2 Cold 1/80:   1%|▏         | 109/7829 [00:05<06:04, 21.16it/s, loss=0.8246, hdr=0.0060, cold=0.0325]
Stage2 Cold 1/80:   1%|▏         | 109/7829 [00:05<06:04, 21.16it/s, loss=0.8224, hdr=0.0069, cold=0.0091]
Stage2 Cold 1/80:   1%|▏         | 109/7829 [00:05<06:04, 21.16it/s, loss=0.8214, hdr=0.0096, cold=0.0531]
Stage2 Cold 1/80:   1%|▏         | 109/7829 [00:05<06:04, 21.16it/s, loss=0.8202, hdr=0.0169, cold=0.0369]
Stage2 Cold 1/80:   1%|▏         | 112/7829 [00:05<06:01, 21.33it/s, loss=0.8202, hdr=0.0169, cold=0.0369]
Stage2 Cold 1/80:   1%|▏         | 112/7829 [00:05<06:01, 21.33it/s, loss=0.8238, hdr=0.0862, cold=0.0115]
Stage2 Cold 1/80:   1%|▏         | 112/7829 [00:05<06:01, 21.33it/s, loss=0.8246, hdr=0.0396, cold=0.1203]
Stage2 Cold 1/80:   1%|▏         | 112/7829 [00:05<06:01, 21.33it/s, loss=0.8234, hdr=0.0324, cold=0.0398]
